Easiest Location (for top items),Item,Type,Subtype,Flavor,Power,ACC,DEF,INI,Elem.,Aff.,Skill,Skill,Min LV,Rarity,Cost,Region,Region,Region,Region,Attribute,Attribute,Attribute,Attribute,Item
S:Pro Orin,Canteen,Weapon,Carafe,Satyr,57,10,-10,,Earth ,19,,,19,Common,53352,Expanse,Imperia,Nordagh,Steppes,,,,,Earth Canteen
S:Pro Orin,Canteen,Weapon,Carafe,Satyr,57,10,-10,,Fire ,19,,,19,Common,53352,Expanse,Imperia,Nordagh,Steppes,,,,,Fire Canteen
S:Pro Orin,Canteen,Weapon,Carafe,Satyr,57,10,-10,,Water ,19,,,19,Common,53352,Expanse,Imperia,Nordagh,Steppes,,,,,Water Canteen
S:Pro Orin,Mjollnir,Weapon,Hammer,Heavy,92,,-10,,Fire ,16,Burn,,20,Unique,82800,Nordagh,,,,,,,,Fire Mjollnir
S:Pro Orin,Tsunami,Weapon,Sword,Dervish,54,15,-10,,Water ,32,,,20,Rare,64800,Steppes,,,,Classspecific,,,,Water Tsunami
"S:Pro Orin, Belfort",Precious Cuirass,Armor,Armor,Medium,79,,6,-12,Earth ,18,,,20,Very Rare,92160,Imperia,,,,,,,,Earth Precious Cuirass
"S:Pro Orin, Belfort",Carafe,Weapon,Carafe,Satyr,60,10,-10,,Fire ,20,,,20,Rare,61920,Imperia,,,,Classspecific,,,,Fire Carafe
"S:Pro Orin, Roanor",The Tenderizer,Weapon,Hammer,Heavy,92,,-10,,Air ,18,,,20,Very Rare,57600,Nordagh,,,,,,,,Air The Tenderizer
"S:Pro Orin, Roanor",The Tenderizer,Weapon,Hammer,Heavy,92,,-10,,Earth ,18,,,20,Very Rare,57600,Nordagh,,,,,,,,Earth The Tenderizer
"S:Pro Orin, Roanor",The Tenderizer,Weapon,Hammer,Heavy,92,,-10,,Fire ,18,,,20,Very Rare,57600,Nordagh,,,,,,,,Fire The Tenderizer
"S:Pro Orin, Roanor",The Tenderizer,Weapon,Hammer,Heavy,92,,-10,,Water ,18,,,20,Very Rare,57600,Nordagh,,,,,,,,Water The Tenderizer
"S:Pro Orin, Vargen; L: Steppes Mountain Rangers",Bear Cowl,Helmet,Helmet,Gungnir,100,-5,4,,Earth ,14,,,20,Unique,10560,Nordagh,,,,Classspecific,,,,Earth Bear Cowl
"S:Pro Orin, Wastes; L:Steppes Tolui Water",Acid Guard,Armor,Armor,Light,78,,6,-12,Earth ,18,DamageReturnMedium,,20,Very Rare,56000,Steppes,,,,,,,,Earth Acid Guard
S:Pro Roanor,Horned Spangenhelm,Helmet,HelmetD,Helm,100,-5,4,,Air ,10,,,20,Very Rare,10560,Nordagh,,,,,,,,Air Horned Spangenhelm
S:Pro Roanor,Horned Spangenhelm,Helmet,HelmetD,Helm,100,-5,4,,Earth ,10,,,20,Very Rare,10560,Nordagh,,,,,,,,Earth Horned Spangenhelm
S:Pro Roanor,Horned Spangenhelm,Helmet,HelmetD,Helm,100,-5,4,,Fire ,10,,,20,Very Rare,10560,Nordagh,,,,,,,,Fire Horned Spangenhelm
S:Pro Roanor,Horned Spangenhelm,Helmet,HelmetD,Helm,100,-5,4,,Water ,10,,,20,Very Rare,10560,Nordagh,,,,,,,,Water Horned Spangenhelm
S:Pro Roanor,Studded Wooden Shield,Shield,Shield,Light,107,-3,9,,Fire ,6,DamageReturnMedium,,11,Frequent,1166,Nordagh,,,,,,,,Fire Studded Wooden Shield
S:Pro Roanor,Studded Wooden Shield,Shield,Shield,Light,107,-3,9,,Water ,6,DamageReturnMedium,,11,Frequent,1166,Nordagh,,,,,,,,Water Studded Wooden Shield
S:Pro Saraa Izel,Royal Garb,Armor,Armor,Dervish,66,,6,-12,Fire ,12,CrowdUP,,17,Unique,189244,Expanse,,,,Classspecific,,,,Fire Royal Garb
S:Pro Saraa Izel,Royal Garb,Armor,Armor,Dervish,66,,6,-12,Water ,12,CrowdUP,,17,Unique,189244,Expanse,,,,Classspecific,,,,Water Royal Garb
S:Pro Saraa Izel,Robe of Rebirth,Armor,Armor,Summoner,70,,6,-12,Fire ,20,AutoReviveHalf,,18,Unique,235224,Expanse,,,,Classspecific,,,,Fire Robe of Rebirth
S:Pro Saraa Izel,Robe of Rebirth,Armor,Armor,Summoner,70,,6,-12,Water ,20,AutoReviveHalf,,18,Unique,235224,Expanse,,,,Classspecific,,,,Water Robe of Rebirth
S:Pro Saraa Izel,Enforced Gallic,Helmet,HelmetE,Military,95,-5,4,,Fire ,8,,,19,Rare,9120,Expanse,,,,,,,,Fire Enforced Gallic
S:Pro Saraa Izel,Enforced Gallic,Helmet,HelmetE,Military,95,-5,4,,Water ,8,,,19,Rare,9120,Expanse,,,,,,,,Water Enforced Gallic
S:Pro Saraa Izel,Tower of Pain,Shield,Shield,Heavy,297,-5,15,,Fire ,18,FireDamageReturn,,20,Very Rare,11520,Expanse,,,,,,,,Fire Tower of Pain
S:Pro Saraa Izel,Mirror Shield,Shield,Shield,Medium,199,-4,13,,Fire ,8,BlockAccDown,,18,Infrequent,4248,Expanse,,,,,,,,Fire Mirror Shield
S:Pro Saraa Izel,Mirror Shield,Shield,Shield,Medium,199,-4,13,,Water ,8,BlockAccDown,,18,Infrequent,4248,Expanse,,,,,,,,Water Mirror Shield
S:Pro Saraa Izel,Poison Barbed Shield,Shield,Shield,Medium,221,-5,15,,Water ,10,PoisonBlock,,20,Rare,5040,Expanse,,,,Unbreakable,,,,Water Poison Barbed Shield
S:Pro Saraa Izel,Snakeskin Bow,Weapon,Bow,Plain,48,,-9,,Fire ,12,AddPoison,,16,Rare,52992,Expanse,,,,Animating,,,,Fire Snakeskin Bow
S:Pro Saraa Izel,Snakeskin Bow,Weapon,Bow,Plain,48,,-9,,Water ,12,AddPoison,,16,Rare,52992,Expanse,,,,Animating,,,,Water Snakeskin Bow
S:Pro Saraa Izel,Twin Vipers,Weapon,Sword,Dervish,46,15,-9,,Water ,12,AddPoison,,17,Very Rare,56916,Expanse,,,,Classspecific,,,,Water Twin Vipers
S:Pro Saraa Izel,Dahshat,Weapon,Sword,Heavy,72,15,-10,,Water ,14,Confuse,,19,Very Rare,64638,Expanse,,,,,,,,Water Dahshat
S:Pro Sloan,Gungnir,Weapon,Javelin,Gungnir,60,99,-10,,Earth ,14,,,19,Unique,151438,Nordagh,,,,,,,,Earth Gungnir
S:Pro Wastes,Wing of Safat,Shield,Shield,Samnite,282,-5,14,,Air ,12,,,19,Unique,12464,Expanse,,,,Classspecific,,,,Air Wing of Safat
"S:Pro Wastes, Akar An",Diamond Shell,Armor,Armor,Heavy,91,,6,-12,,,AgilityUP,,20,Very Rare,152000,Expanse,,,,,,,,Diamond Shell
S:Pro Yuset,Spiked Fur Hat,Helmet,HelmetC,Archer,85,-5,4,,Air ,16,,,17,Unique,9520,Steppes,,,,Classspecific,,,,Air Spiked Fur Hat
S:Pro Yuset,Spiked Fur Hat,Helmet,HelmetC,Archer,85,-5,4,,Earth ,16,,,17,Unique,9520,Steppes,,,,Classspecific,,,,Earth Spiked Fur Hat
S:Pro Yuset,Spiked Fur Hat,Helmet,HelmetC,Archer,85,-5,4,,Fire ,16,,,17,Unique,9520,Steppes,,,,Classspecific,,,,Fire Spiked Fur Hat
S:Pro Yuset,Spiked Fur Hat,Helmet,HelmetC,Archer,85,-5,4,,Water ,16,,,17,Unique,9520,Steppes,,,,Classspecific,,,,Water Spiked Fur Hat
S:Pro Yuset,Lion's Fury,Weapon,Hammer,Medium,69,,-10,,Air ,18,,,20,Very Rare,48000,Steppes,,,,,,,,Air Lion's Fury
S:Pro Yuset,Lion's Fury,Weapon,Hammer,Medium,69,,-10,,Earth ,18,,,20,Very Rare,48000,Steppes,,,,,,,,Earth Lion's Fury
S:Pro Yuset,Lion's Fury,Weapon,Hammer,Medium,69,,-10,,Fire ,18,,,20,Very Rare,48000,Steppes,,,,,,,,Fire Lion's Fury
S:Pro Yuset,Lion's Fury,Weapon,Hammer,Medium,69,,-10,,Water ,18,,,20,Very Rare,48000,Steppes,,,,,,,,Water Lion's Fury
S:Pro Yuset,Zatoichi,Weapon,Sword,Medium,54,15,-10,,Fire ,16,Cripple,,19,Very Rare,55575,Steppes,,,,,,,,Fire Zatoichi
S:Pro Yuset,Zatoichi,Weapon,Sword,Medium,54,15,-10,,Water ,16,Cripple,,19,Very Rare,55575,Steppes,,,,,,,,Water Zatoichi
S:Saraa Izel,Dyed Cotton Toga,Armor,Armor,Arcane,46,,5,-10,Earth ,18,BeastEvade,,12,Infrequent,21120,Imperia,,,,,,,,Earth Dyed Cotton Toga
S:Saraa Izel,Razor Shield,Shield,Shield,Murmillo,194,-3,10,,Fire ,16,Bleeding,,13,Rare,13728,Imperia,,,,Unbreakable,Classspecific,,,Fire Razor Shield
S:Saraa Izel,Razor Shield,Shield,Shield,Murmillo,194,-3,10,,Water ,16,Bleeding,,13,Rare,13728,Imperia,,,,Unbreakable,Classspecific,,,Water Razor Shield
S:Saraa Izel,Veneficus,Weapon,Staff,Plain,42,12,-8,,Water ,12,Poison II,,14,Rare,59472,Imperia,,,,,,,,Water Veneficus
S:Saraa Izel Pro,Tekuja Sikke,Helmet,Helmet,Dervish,95,-5,4,,Fire ,8,,,19,Very Rare,9424,Expanse,,,,Unbreakable,Classspecific,,,Fire Tekuja Sikke
S:Saraa Izel Pro,Tekuja Sikke,Helmet,Helmet,Dervish,95,-5,4,,Water ,8,,,19,Very Rare,9424,Expanse,,,,Unbreakable,Classspecific,,,Water Tekuja Sikke
S:Saraa Izel Pro,Tekuja Axe,Weapon,Axe,TwoHanded,84,10,-10,,Fire ,16,,,20,Very Rare,57600,Expanse,,,,,,,,Fire Tekuja Axe
S:Saraa Izel Pro,Tekuja Axe,Weapon,Axe,TwoHanded,84,10,-10,,Water ,16,,,20,Very Rare,57600,Expanse,,,,,,,,Water Tekuja Axe
S:Saraa Izel Pro,Tekuja Hammer,Weapon,Hammer,TwoHanded,92,,-10,,Fire ,16,,,20,Very Rare,54000,Expanse,,,,,,,,Fire Tekuja Hammer
S:Saraa Izel Pro,Tekuja Hammer,Weapon,Hammer,TwoHanded,92,,-10,,Water ,16,,,20,Very Rare,54000,Expanse,,,,,,,,Water Tekuja Hammer
S:Saraa Izel Pro,Tawuus,Weapon,Spear,Heavy,76,8,-10,,Fire ,8,,,20,Very Rare,32400,Expanse,,,,,,,,Fire Tawuus
S:Saraa Izel Pro,Tawuus,Weapon,Spear,Heavy,76,8,-10,,Water ,8,,,20,Very Rare,32400,Expanse,,,,,,,,Water Tawuus
S:Saraa Izel Pro,Tekuja Sword,Weapon,Sword,TwoHanded,76,15,-10,,Fire ,16,,,20,Very Rare,48600,Expanse,,,,,,,,Fire Tekuja Sword
S:Saraa Izel Pro,Tekuja Sword,Weapon,Sword,TwoHanded,76,15,-10,,Water ,16,,,20,Very Rare,48600,Expanse,,,,,,,,Water Tekuja Sword
S:Valens: Fliuch,Spiked Round Shield,Shield,Shield,Medium,91,-2,7,,Earth ,4,DamageReturnLight,,8,Frequent,1600,Steppes,,,,,,,,Earth Spiked Round Shield
S:Valens: Fliuch,Spiked Round Shield,Shield,Shield,Medium,91,-2,7,,Water ,4,DamageReturnLight,,8,Frequent,1600,Steppes,,,,,,,,Water Spiked Round Shield
S:Wastes,Full Del,Armor,Armor,Arcane,50,,5,-10,Air ,20,DoubleFrontProtection,,13,Infrequent,23712,Steppes,,,,,,,,Air Full Del
S:Wastes,Full Del,Armor,Armor,Arcane,50,,5,-10,Earth ,20,DoubleFrontProtection,,13,Infrequent,23712,Steppes,,,,,,,,Earth Full Del
S:Wastes,Wizard's Cloak,Armor,Armor,Arcane,58,,5,-10,Air ,20,MagicUP,,15,Rare,27840,Expanse,,,,,,,,Air Wizard's Cloak
S:Wastes,Wizard's Cloak,Armor,Armor,Arcane,58,,5,-10,Earth ,20,MagicUP,,15,Rare,27840,Expanse,,,,,,,,Earth Wizard's Cloak
S:Wastes,Studded Wooden Shield,Shield,Shield,Light,107,-3,9,,Air ,6,DamageReturnMedium,,11,Frequent,1166,Nordagh,,,,,,,,Air Studded Wooden Shield
S:Wastes,Studded Wooden Shield,Shield,Shield,Light,107,-3,9,,Earth ,6,DamageReturnMedium,,11,Frequent,1166,Nordagh,,,,,,,,Earth Studded Wooden Shield
S:Wastes,Razor Shield,Shield,Shield,Murmillo,194,-3,10,,Air ,16,Bleeding,,13,Rare,13728,Imperia,,,,Unbreakable,Classspecific,,,Air Razor Shield
S:Wastes,Razor Shield,Shield,Shield,Murmillo,194,-3,10,,Earth ,16,Bleeding,,13,Rare,13728,Imperia,,,,Unbreakable,Classspecific,,,Earth Razor Shield
S:Wastes,Teres Moles,Shield,Shield,Murmillo,165,,9,,Air ,14,,,11,Infrequent,7920,Imperia,,,,Unbreakable,Classspecific,,,Air Teres Moles
S:Wastes,Dark Bwaag Scaap Dark,Shield,Shield,Undead,156,-3,10,,Dark ,10,,,14,Infrequent,8736,Nordagh,,,,Classspecific,,,,Dark Bwaag Scaap Dark
S:Wastes,Zatoichi,Weapon,Sword,Medium,54,15,-10,,Air ,16,Cripple,,19,Very Rare,55575,Steppes,,,,,,,,Air Zatoichi
S:Wastes,Zatoichi,Weapon,Sword,Medium,54,15,-10,,Earth ,16,Cripple,,19,Very Rare,55575,Steppes,,,,,,,,Earth Zatoichi
S:Yuset,Thief's Clothing,Armor,Armor,Bandit,46,5,5,-10,,,AgilityUP,,12,Unique,116160,Expanse,Imperia,Nordagh,Steppes,Classspecific,,,,Thief's Clothing
S:Yuset,Double Leather,Armor,Armor,Barbarian,43,2,4,-10,Air ,10,,,11,Common,69212,Steppes,,,,,,,,Air Double Leather
S:Yuset,Double Leather,Armor,Armor,Barbarian,43,2,4,-10,Earth ,10,,,11,Common,69212,Steppes,,,,,,,,Earth Double Leather
S:Yuset,Double Leather,Armor,Armor,Barbarian,43,2,4,-10,Fire ,10,,,11,Common,69212,Steppes,,,,,,,,Fire Double Leather
S:Yuset,Double Leather,Armor,Armor,Barbarian,43,2,4,-10,Water ,10,,,11,Common,69212,Steppes,,,,,,,,Water Double Leather
"S:Yuset, Wastes",Ringed Diadem,Helmet,HelmetA,Diadem,65,-4,3,,Earth ,14,,,13,Rare,7488,Expanse,,,,,,,,Earth Ringed Diadem
STORY BATTLE,Gungnir,Weapon,Javelin,Gungnir,60,99,-10,,Air ,14,,,19,Unique,151438,Nordagh,,,,,,,,Air Gungnir
STORY BATTLE PRIZE,Clypeus,Shield,Shield,Legionnaire,290,-5,14,,,,AlwaysFace,,19,Unique,14896,Imperia,,,,Classspecific,,,,Clypeus
STORY BATTLE PRIZE,Spine Staff,Weapon,Staff,MongrelShaman,54,15,-9,,Earth ,20,Blind,,18,Unique,85536,Expanse,Imperia,,,Classspecific,,,,Earth Spine Staff
STORY BATTLE PRIZE,Phalanx,Weapon,Sword,Centurion,16,15,-10,,,,AlwaysFace,,19,Unique,46170,,,,,Classspecific,,,,Phalanx
STORY ONLY,King's Armor,Armor,Armor,Urlan,82,,8,-12,,,AffinityX2,,20,Unique,174240,Nordagh,,,,Tracked,Unsellable,Classspecific,,King's Armor
STORY ONLY,Light Treanid,Armor,Armor,Valkyrie,82,5,8,-12,Light ,10,HPUP,,20,Unique,246840,,,,,Unsellable,Classspecific,,,Light Treanid
STORY ONLY,Light Iolair,Helmet,Helmet,Valkyrie,100,-1,6,,Light ,10,MagicDefUP,,1,Unique,880,,,,,Tracked,Unsellable,Unbreakable,Classspecific,Light Iolair
STORY ONLY,Barbarian's Pride,Helmet,HelmetD,Urlan,100,-5,6,,,,HPUP,,20,Unique,13120,Nordagh,,,,Tracked,Unsellable,Unbreakable,Classspecific,Barbarian's Pride
STORY ONLY,Munio's Helmet,Helmet,HelmetE,Valens,100,-5,4,,,,MoveToAttackUP,,20,Unique,12480,Imperia,,,,Unsellable,Unbreakable,Classspecific,,Munio's Helmet
STORY ONLY,Light Fendeil,Shield,Shield,Valkyrie,221,,15,,Light ,10,NegateCritical,,20,Unique,20800,,,,,Unsellable,Unbreakable,Classspecific,,Light Fendeil
STORY ONLY,Orin's Axe,Weapon,Axe,Urlan,84,10,-10,,,,AffinityX2,,20,Unique,57600,Nordagh,,,,Tracked,Unsellable,Classspecific,,Orin's Axe
STORY ONLY,Light Feighona's Sword,Weapon,Sword,Valkyrie,67,15,-8,,Light ,30,StrengthUP,,20,Unique,83160,,,,,Unsellable,Classspecific,,,Light Feighona's Sword
UNCLEAR,Brimmed Corinthian Helmet,Helmet,HelmetE,Legionnaire,100,-5,4,,Water ,12,,,19,Unique,9424,Imperia,,,,Classspecific,,,,Water Brimmed Corinthian Helmet
,Anklet of Oasis,Accessory,Anklet,plain,0,,,,Water ,10,,,1,Rare,1188,Expanse,,,,,,,,Water Anklet of Oasis
,Anklet of Will,Accessory,Anklet,plain,0,,,,,,NegateCharmConfusion,,1,Rare,6192,Imperia,,,,,,,,Anklet of Will
,Chain Anklet,Accessory,Anklet,plain,0,,,,,,HPUP,,1,Infrequent,3024,Nordagh,,,,,,,,Chain Anklet
,Dark Ivory Anklet,Accessory,Anklet,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Steppes,,,,,,,,Dark Ivory Anklet
,Desert Viper,Accessory,Anklet,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Expanse,,,,,,,,Desert Viper
,Earthen Anklet,Accessory,Anklet,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Earthen Anklet
,Jeweled Anklet,Accessory,Anklet,plain,0,,,,,,AffinityX2,,1,Very Rare,12672,Expanse,,,,,,,,Jeweled Anklet
,Lace Anklet,Accessory,Anklet,plain,0,,,,Air ,10,,,1,Rare,1188,Imperia,,,,,,,,Air Lace Anklet
,Light Golden Anklet,Accessory,Anklet,plain,0,,,,Light ,10,,,1,Rare,1188,Expanse,,,,,,,,Light Golden Anklet
,Mark of Rank,Accessory,Anklet,plain,0,,,,,,NegateStun,,1,Frequent,14760,Expanse,,,,,,,,Mark of Rank
,Myth of the Sands,Accessory,Anklet,plain,0,,,,,,CriticalAttackUP,,1,Frequent,8856,Expanse,,,,,,,,Myth of the Sands
,Queen's Anklet,Accessory,Anklet,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Expanse,,,,,,,,Queen's Anklet
,Scarlet Anklet,Accessory,Anklet,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Scarlet Anklet
,Silken Anklet,Accessory,Anklet,plain,0,,,,,,MoveToAttackUP,,1,Common,5760,Steppes,,,,,,,,Silken Anklet
,Steel Anklet,Accessory,Anklet,plain,0,,5,,,,,,1,Infrequent,7776,Steppes,,,,,,,,Steel Anklet
,Tekuja Anklet,Accessory,Anklet,plain,0,,,,,,BoostPP,,1,Common,5760,Expanse,,,,,,,,Tekuja Anklet
,Birch Armband,Accessory,Armband,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Birch Armband
,Brute's Armband,Accessory,Armband,plain,0,,,,,,CriticalAttackUP,,1,Frequent,8856,Expanse,,,,,,,,Brute's Armband
,Chainmail Armband,Accessory,Armband,plain,0,,,,,,HPUP,,1,Infrequent,3024,Imperia,,,,,,,,Chainmail Armband
,Dark Bone Armband,Accessory,Armband,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Bone Armband
,Feathered Armband,Accessory,Armband,plain,0,,,,Air ,10,,,1,Rare,1188,Steppes,,,,,,,,Air Feathered Armband
,Fur Armband,Accessory,Armband,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Nordagh,,,,,,,,Fur Armband
,Insignia Band,Accessory,Armband,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Expanse,,,,,,,,Insignia Band
,Leather Armband,Accessory,Armband,plain,0,,,,,,NegateCritical,,1,Infrequent,18144,Nordagh,,,,,,,,Leather Armband
,Light Woven Armband,Accessory,Armband,plain,0,,,,Light ,10,,,1,Rare,1188,Imperia,,,,,,,,Light Woven Armband
,Plated Armband,Accessory,Armband,plain,0,,5,,,,,,1,Infrequent,7776,Imperia,,,,,,,,Plated Armband
,Revenge Armband,Accessory,Armband,plain,0,,,,,,DoubleCounter,,1,Very Rare,15840,Nordagh,,,,,,,,Revenge Armband
,Silken Armband,Accessory,Armband,plain,0,,,,,,MoveToAttackUP,,1,Common,5760,Steppes,,,,,,,,Silken Armband
,Snakeskin Armband,Accessory,Armband,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Snakeskin Armband
,Soldier's Armband,Accessory,Armband,plain,0,,,,,,AlwaysFace,,1,Infrequent,9072,Imperia,,,,,,,,Soldier's Armband
,Steel Armband,Accessory,Armband,plain,0,,,,Water ,10,,,1,Rare,1188,Expanse,,,,,,,,Water Steel Armband
,Thief's Armband,Accessory,Armband,plain,0,,,,,,SpecialRewards,,1,Very Rare,9504,Steppes,,,,,,,,Thief's Armband
,Archer's Belt,Accessory,Belt,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Steppes,,,,,,,,Archer's Belt
,Assassin's Belt,Accessory,Belt,plain,0,,,,,,AmbushUP,,1,Very Rare,3168,Expanse,,,,,,,,Assassin's Belt
,Belt of Willpower,Accessory,Belt,plain,0,,,,,,NegateCharmConfusion,,1,Rare,6192,Imperia,,,,,,,,Belt of Willpower
,Chain Belt,Accessory,Belt,plain,0,,,,,,HPUP,,1,Infrequent,3024,Nordagh,,,,,,,,Chain Belt
,Dark Dark Belt,Accessory,Belt,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Dark Belt
,Fisherman's Belt,Accessory,Belt,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Fisherman's Belt
,Leather Belt,Accessory,Belt,plain,0,,5,,,,,,1,Infrequent,7776,Nordagh,,,,,,,,Leather Belt
,Light Temple Belt,Accessory,Belt,plain,0,,,,Light ,10,,,1,Rare,1188,Imperia,,,,,,,,Light Temple Belt
,Magic Belt,Accessory,Belt,plain,0,,,,,,MagicUP,,1,Infrequent,3024,Expanse,,,,,,,,Magic Belt
,Master's Belt,Accessory,Belt,plain,0,,,,,,RangeUP,,1,Very Rare,19008,Steppes,,,,,,,,Master's Belt
,Nomad's Belt,Accessory,Belt,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Steppes,,,,,,,,Nomad's Belt
,Quarryman's Belt,Accessory,Belt,plain,0,,,,Earth ,10,,,1,Rare,1188,Expanse,,,,,,,,Earth Quarryman's Belt
,Rider's Belt,Accessory,Belt,plain,0,,,,Air ,10,,,1,Rare,1188,Steppes,,,,,,,,Air Rider's Belt
,Scarlet Belt,Accessory,Belt,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Scarlet Belt
,Silk Belt,Accessory,Belt,plain,0,,,,,,MoveToAttackUP,,1,Common,5760,Steppes,,,,,,,,Silk Belt
,Soul Belt,Accessory,Belt,plain,0,,,,,,CriticalAttackUP,,1,Frequent,8856,Expanse,,,,,,,,Soul Belt
,Amazon's Bracelet,Accessory,Bracelet,plain,0,,,,,,StrengthUP,,1,Infrequent,9072,Imperia,,,,,,,,Amazon's Bracelet
,Bracelet of Force,Accessory,Bracelet,plain,0,,,,,,CriticalAttackUP,,1,Frequent,8856,Nordagh,,,,,,,,Bracelet of Force
,Bronze Bracelet,Accessory,Bracelet,plain,0,,,,Air ,10,,,1,Rare,1188,Imperia,,,,,,,,Air Bronze Bracelet
,Dark Bone Bracelet,Accessory,Bracelet,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Nordagh,,,,,,,,Dark Bone Bracelet
,Gold Bracelet,Accessory,Bracelet,plain,0,,,,,,HPUP,,1,Infrequent,3024,Expanse,,,,,,,,Gold Bracelet
,Jeweled Bracelet,Accessory,Bracelet,plain,0,,,,,,AffinityX2,,1,Very Rare,12672,Expanse,,,,,,,,Jeweled Bracelet
,Leather Bracelet,Accessory,Bracelet,plain,0,,5,,,,,,1,Infrequent,7776,Nordagh,,,,,,,,Leather Bracelet
,Light Woven Bracelet,Accessory,Bracelet,plain,0,,,,Light ,10,,,1,Rare,1188,Nordagh,,,,,,,,Light Woven Bracelet
,Magical Bracelet,Accessory,Bracelet,plain,0,,,,,,MagicUP,,1,Infrequent,3024,Expanse,,,,,,,,Magical Bracelet
,Mythical Bracelet,Accessory,Bracelet,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,6048,Imperia,,,,,,,,Mythical Bracelet
,Ornate Bracelet,Accessory,Bracelet,plain,0,,,,,,BoostPP,,1,Common,5760,Imperia,,,,,,,,Ornate Bracelet
,Pretty Bracelet,Accessory,Bracelet,plain,0,,,,,,EvadeMaleUP,,1,Frequent,14760,Steppes,,,,,,,,Pretty Bracelet
,Steel Bracelet,Accessory,Bracelet,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Steel Bracelet
,Steppes Bracelet,Accessory,Bracelet,plain,0,,,,,,RangeUP,,1,Very Rare,19008,Steppes,,,,,,,,Steppes Bracelet
,Stone Bracelet,Accessory,Bracelet,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Stone Bracelet
,Vermillion Bracelet,Accessory,Bracelet,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Vermillion Bracelet
,Bronze Nosering,Accessory,Bullring,plain,0,,,,Air ,10,,,1,Rare,1188,Imperia,,,,,,,,Air Bronze Nosering
,Bull Ring,Accessory,Bullring,plain,0,,,,,,StrengthUP,,1,Infrequent,12096,Imperia,,,,,,,,Bull Ring
,Dark Bone Nosering,Accessory,Bullring,plain,0,,,,Dark ,10,,,1,Very Rare,1224,Expanse,,,,,,,,Dark Bone Nosering
,Gold Nosering,Accessory,Bullring,plain,0,,,,,,BoostPP,,1,Common,7200,Expanse,,,,,,,,Gold Nosering
,Heavy Nosering,Accessory,Bullring,plain,0,,,,,,HPUP,,1,Infrequent,6048,Steppes,,,,,,,,Heavy Nosering
,Jeweled Nosering,Accessory,Bullring,plain,0,,,,,,AffinityX2,,1,Very Rare,12672,Expanse,,,,,,,,Jeweled Nosering
,Light Glass Nosering,Accessory,Bullring,plain,0,,,,Light ,10,,,1,Rare,1188,Nordagh,,,,,,,,Light Glass Nosering
,Linked Nosering,Accessory,Bullring,plain,0,,,,,,NegateCritical,,1,Infrequent,18144,Nordagh,,,,,,,,Linked Nosering
,Polished Nosering,Accessory,Bullring,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,7560,Steppes,,,,,,,,Polished Nosering
,Soul Ring,Accessory,Bullring,plain,0,,,,,,CriticalAttackUP,,1,Frequent,8856,Steppes,,,,,,,,Soul Ring
,Steel Nosering,Accessory,Bullring,plain,0,,,,Water ,10,,,1,Rare,1188,Imperia,,,,,,,,Water Steel Nosering
,Stone Nosering,Accessory,Bullring,plain,0,,,,Earth ,10,,,1,Rare,1188,Nordagh,,,,,,,,Earth Stone Nosering
,Studded Nosering,Accessory,Bullring,plain,0,,,,,,NegateStun,,1,Frequent,5904,Nordagh,,,,,,,,Studded Nosering
,Thorned Nosering,Accessory,Bullring,plain,0,,,,,,NegateCharmConfusion,,1,Rare,7740,Nordagh,,,,,,,,Thorned Nosering
,Titanium Nosering,Accessory,Bullring,plain,0,,5,,,,,,1,Infrequent,11664,Expanse,,,,,,,,Titanium Nosering
,Vermillion Nosering,Accessory,Bullring,plain,0,,,,Fire ,10,,,1,Rare,1188,Steppes,,,,,,,,Fire Vermillion Nosering
,Amber Gemstone,Accessory,Charm,plain,0,,,,,,NegateCrowdDown,,1,Infrequent,3024,Nordagh,,,,,,,,Amber Gemstone
