//name, class, customize info, stats, items, skills, school
NUMUNITS: 2173
"Bodicca","Murmillo","1#Imperia_10","StatSet0","ItemSetIW","SkillSetComb","ImperiaOrusLocalRecruits"
"Bodil","BarbarianF","2#Nordagh_14","statset0","ItemSetNF","skillsetcomb","Lily's House o' Bandits"
"Bokhides","Cyclops","2#","StatSet0","ItemSetSW","SkillSetAffW","Krakens"
"Bolormaa","UndeadCasterB","","StatSet3","ItemSetSD","SkillSetComb","WildernessSteppesUndead"
"Boney","UndeadMeleeExpA","0#","statset0","itemsetNE","skillsetcomb","NoSchool"
"Bora","SamniteSteF","3#Steppes_02","statset0","ItemSetSF","SkillSetAffF","Krakens"
"Borchu","SamniteSte","3#Steppes_11","statset0","ItemSetSU","SkillSetComb","Krakens"
"Borjigin","Cat","4#","StatSet2","ItemSetSA","SkillSetAffA","WildernessSteppesTiger"
"Borte","Amazon","","StatSet0","ItemSetSA","SkillSetAffA","Steppes Ringers"
"Botolf","BanditB","3#","StatSet0","ItemSetNE","SkillSetComb","NoSchool"
"Bourtai","WolfGreater","0#","statset0","ItemSetSE","SkillSetAffE","Eyes of the Beast"
"Boynton","Barbarian","3#Nordagh_01","Statset0","ItemSetNW","skillsetaffW","High Krigare School"
"Braga","Mongrel","3#Nordagh_07","StatSet0","ItemSetIE","SkillSetAffE","ImperiaMawMongrelBand"
"Brahno","Mongrel","3#Nordagh_08","StatSet0","ItemSetIF","SkillSetComb","ImperiaMawMongrelBand"
"Bram","Mongrel","1#Nordagh_09","StatSet0","ItemSetNU","SkillSetComb","WildernessNordaghMonster"
"Branduff","Satyr","2#Satyr1","StatSet0","ItemSetIF","SkillSetComb","The Invaders"
"Brazil","MongrelShaman","1#Nordagh_08","StatSet0","ItemSetNF","SkillSetAffF","Mongrel Shamen"
"Breeya","BarbarianF","4#Nordagh_16","StatSet0","ItemSetNA","SkillSetAffA",""
"Briana","GungnirF","3#Nordagh_07","StatSet0","ItemSetNE","SkillSetAffE",""
"Brigid","Wolf","1#","statset0","ItemsetNE","skillsetcomb","United Packs of Sloan Forest"
"Brine","PropBarrel","","statue","ItemSetNU","prop_BarrelNorm","RollOutTheBarrels"
"Brogan","barbarian","4#Nordagh_03","statset0","ItemSetNE","skillsetcomb","NordaghSchool"
"Bronc","Wolf","1#","StatSet0","ItemSetIE","SkillSetComb","WildernessImperiaWolf"
"Brono","Bear","4#","StatSet0","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Broteas","DarkLegionnaire","0#Imperia_03","StatSet0","ItemSetIW","SkillSetAffW",""
"Bruic","Gungnir","4#Nordagh_15","statset0","ItemsetNW","skillsetcomb","Sloan Defense Brigade"
"Brunhild","Wolf","4#","StatSet0","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Brus","Berserker","0#berserker01","statset0","ItemSetNF","skillsetcomb","Leende Tribe"
"Brutuus","Legionnaire","3#Imperia_13","StatSet0","ItemSetIA","SkillSetComb",""
"Bryannt","BerserkerF","0#berserker08","StatSet0","ItemSetIE","SkillSetComb","Black Band of Seven"
"Bryer","BanditA","3#","statset0","ItemSetEW","SkillSetAffW","ImperiaPirgosLocalRecruits"
"Buandelgereen","DarkCat","0#Beast_12","statset0","itemsetSD","SkillSetAffD","WildernessExpanseDark"
"Bucoli","SamniteImp","2#School_TurqRed2","StatSet0","ItemSetIE","SkillSetAffE","ImperiaTrikataPergaGiants"
"Budeia","ChannelerImp","","StatSet0","ItemSetIE","SkillSetAffE","Vhyn Vagrants"
"Bugiec","UndeadMeleeSteB","","StatSet1","ItemSetSD","SkillSetAffD","WildernessSteppesUndead"
"Buhoro","Cat","3#","StatSet0","ItemSetEA","SkillSetAffA","Spellcasters"
"Buidhe","Yeti","3#Yeti2","StatSet0","ItemSetNW","SkillSetAffW","school of past Glory"
"Bumbyn","BearGreater","0#","statset0","itemsetNE","SkillSetAffE","Eyes of the Beast"
"Buqa","Archer","3#School_YellowGreen4","statset0","ItemSetSA","SkillSetAffA","Rywigo Arrowheads"
"Buri","Bear","2#","statset0","itemsetNW","skillsetcomb",""
"Burilgi","SamniteSteF","3#Steppes_04","statset0","ItemSetSE","SkillSetAffE","Poachers"
"Burque","BanditA","2#","StatSet1","ItemSetSE","SkillSetAffE","WildernessSteppesOutlaw"
"Cacumattus","Centurion","1#School_BlackBlue2","StatSet0","ItemSetIE","SkillSetComb","ImperiaPirgosBrutes"
"Cacye","Galdr","","StatSet0","ItemSetNW","SkillSetAffW","Well Diggers"
"Caela","BanditAF","1#","StatSet0","ItemSetNW","SkillSetAffW","WildernessNordaghOutlaw"
"Cairbre","Yeti","1#Yeti3","StatSet0","ItemSetNW","SkillSetAffW","school of past Glory"
"Cairrean","SecutorSteF","4#School_RedPurple4","statset0","ItemSetIF","SkillSetAffF","School of Xandus"
"Cait","BerserkerF","1#berserker03","statset0","ItemSetNE","skillsetcomb","Dragonheart Militia"
"Caitlin","BarbarianF","1#Nordagh_03","Statset0","ItemSetNE","skillsetaffE","Scum of the Earth"
"Calais","ChannelerImp","","StatSet0","ItemSetSA","SkillSetAffA","Vhyn Vagrants"
"Calius","Centurion","3#","StatSet2","ItemSetIA","SkillSetAffA","ImperiaChampionship"
"Callileon","Murmillo","1#Imperia_14","StatSet0","ItemSetSF","SkillSetAffF","Warriors of Fortitude"
"Callisto","Legionnaire","1#Imperia_10","StatSet0","ItemSetIA","SkillSetComb","ImperiaTrikataLocalRecruit"
"Calpert","Satyr","4#Satyr1","StatSet3","ItemSetIE","SkillSetAffE","ImperiaMonsterSchool"
"Calpurnia","ChannelerImp","3#Imperia_08","StatSet0","ItemSetIF","SkillSetAffF","ImperiaPirgosMunio"
"Calum","Berserker","1#berserker12","statset0","ItemSetNF","skillsetaffF","Sloan Defense Brigade"
"Calven","Legionnaire","1#Imperia_03","StatSet0","ItemSetIA","SkillSetComb",""
"Calyce","BanditAF","2#","StatSet3","ItemSetIU","SkillSetComb","WildernessImperiaOutlaw"
"Camran","Gungnir","","StatSet0","ItemSetNE","SkillSetAffE","Rangers"
"Camrinn","BanditBF","0#","StatSet0","ItemSetNA","SkillSetAffA",""
"Canace","BanditBF","3#","StatSet0","ItemSetIE","SkillSetAffE","ImperiaCroPrisoners"
"Cano","Gungnir","3#Nordagh_12","StatSet0","ItemSetSA","SkillSetComb",""
"Canthra","Wolf","2#","StatSet2","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Capekh","MongrelShaman","4#","StatSet0","ItemSetNW","SkillSetAffW","WildernessNordaghMonster"
"Capito","Legionnaire","2#School_Mutuus","StatSet5","ItemSetIE","SkillSetComb","School of Mutuus"
"Capys","Wolf","1#","StatSet0","ItemSetIE","SkillSetAffE","WildernessImperiaBeast"
"Cara","BarbarianF","1#School_BlueWhite2","statset0","ItemSetNW","skillsetaffW","Children of Mjolnir"
"Caranacus","SamniteImp","2#Imperia_10","StatSet5","ItemSetIE","SkillSetAffE","ImperiaOrusOrcusDomini"
"Cartimandua","ChannelerImp","2#Imperia_02","StatSet0","ItemSetIE","SkillSetComb","ImperiaPirgosLameticus"
"Carus","Mongrel","0#Nordagh_10","StatSet0","ItemSetIF","SkillSetAffF","ImperiaCroBeast"
"Cas","SamniteImp","0#School_BlackRed2","StatSet5","ItemsetNW","skillsetaffW","Shadow of the Empire"
"Casca","Peltast","2#Imperia_08","StatSet0","ItemSetIW","SkillSetComb","ImperiaPirgosGallus"
"Casidhe","Gungnir","0#School_BlackBlack4","StatSet0","ItemSetNW","SkillSetAffW","Riot Gyhrls"
"Casiegh","Gungnir","1#School_RedYellow4","statset0","itemsetNA","skillsetcomb","Fliuch Falcons"
"Cask","PropBarrel","","StatSet0","","prop_BarrelNorm","ImperiaSyrnaPropSchool"
"Caspar","SamniteImp","3#Imperia_20","StatSet5","ItemSetIE","SkillSetAffE","ImperiaOrusOrcusDomini"
"Cassidea","GungnirF","1#Nordagh_03","statset0","itemsetNA","skillsetcomb",""
"Cathan","GungnirF","2#Nordagh_19","StatSet0","ItemSetNW","SkillSetComb","Black Band of Seven"
"Cathistra","LegionnaireF","4#","StatSet1","ItemSetIE","SkillSetAffE","ImperiaSyrnaLocalRecruits"
"Ceat","Berserker","2#berserker03","statset0","itemsetNW","skillsetaffW",""
"Cebbarg","Cyclops","4#","StatSet3","ItemSetIE","SkillSetAffE","ImperiaMonsterSchool"
"Celiceena","secutorImpF","3#School_BlackYellow2","StatSet1","ItemSetIE","skillsetcomb","Femina Formosos"
"Cerah","SamniteImpF","3#","StatSet5","ItemSetIE","SkillSetAffE","ImperiaChampionship"
"Ceres","peltastF","0#Imperia_18","statset0","ItemSetIA","skillsetcomb","ImperiaSchool"
"Cerhho","UndeadMeleeImpA","","StatSet0","ItemSetSU","SkillSetComb","WildernessSteppesUndead"
"Cerwasz","BanditA","3#","StatSet0","ItemSetIF","SkillSetComb","ImperiaPirgosLameticus"
"Ceryx","SamniteImpF","3#School_BlackYellow2","statset0","itemsetIF","skillsetcomb","Femina Formosos"
"Cesus","Wolf","3#","StatSet1","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Cethern","UndeadMeleeNorA","","StatSet0","ItemSetND","SkillSetAffD","Story Characters"
"Chachech","Ogre","","StatSet0","ItemSetSA","SkillSetAffA","Krakens"
"Chachik","Scorpion","","StatSet0","ItemSetEF","SkillSetAffF","NoSchool"
"Chagadai","Amazon","","StatSet0","ItemSetSU","SkillSetComb","Lioness"
"Chagan","SamniteSte","0#School_PurpleTurq4","statset0","ItemsetNA","skillsetaffA","Krigare School"
"Chagha","SecutorSteF","","StatSet0","ItemSetSA","SkillSetAffA","Rhun Rhyot"
"Chamu","UndeadCasterB","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Chamuka","ArcherF","3#School_YellowGreen4","statset0","itemsetSE","SkillSetAffE","Rywigo Arrowheads"
"Charles","Gungnir","0#Nordagh_06","StatSet0","ItemSetNE","SkillSetComb","Black Band of Seven"
"Charmaign","Legionnaire","3#School_BlueWhite1","statset0","ItemSetIW","skillsetcomb","BelfortMilitary"
"Chatagai","Archer","1#","StatSet2","ItemSetSU","SkillSetComb","WildernessSteppesOutlaw"
"Chatukla","Scarab","1#","StatSet1","ItemSetEU","SkillSetComb","WildernessExpanseBeast"
"Chaulon","UndeadMeleeSteA","0#School_YellowBlack4","StatSet0","ItemSetSD","SkillSetAffD","School of Suyhron"
"Chauth","UndeadMeleeSteA","","StatSet1","ItemSetSU","SkillSetComb","WildernessSteppesUndead"
"Chebes","Bear","","StatSet0","ItemSetEE","SkillSetAffE","Zhigazoo"
"Checheg","Cyclops","1#School_RedBlue4","statset0","itemsetIA","skillsetcomb","Qo'ai-Marael"
"Chengelay","SecutorSte","4#School_YellowBlue2","statset0","ItemSetSF","skillsetcomb","Borte Hulagu"
"Chenzira","BeastFire","","StatSet0","ItemSetEF","skillsetSumFire","The Fearsome Foursome"
"Cheop","UndeadCasterB","","StatSet0","ItemSetEA","skillsetqstPF","The Royal Casters"
"Cheren","CatGreater","4#","statset0","ItemSetSA","SkillSetAffA","Eyes of the Beast"
"Chiade","BanditAF","1#","StatSet0","ItemSetIW","SkillSetAffW","WildernessImperiaOutlaw"
"Chigha","ArcherF","","StatSet0","ItemSetSU","SkillSetComb","NoSchool"
"Chimbai","Cat","4#","StatSet3","ItemSetSU","SkillSetComb","WildernessSteppesTiger"
"Chinua","Archer","3#School_YellowGreen4","statset0","ItemSetSFOXM","SkillSetComb","Rywigo Arrowheads"
"Chloea","LegionnaireF","4#School_RedPurple4","statset0","ItemSetIU","SkillSetComb","School of Xandus"
"Cholpon","UndeadMeleeSteB","","StatSet0","ItemSetSU","SkillSetComb","WildernessSteppesUndead"
"Chomper","Wolf","3#","StatSet0","ItemSetIE","SkillSetAffE","Beware of Dog"
"Chomu","MongrelShaman","2#Nordagh_09","StatSet0","ItemSetSU","SkillSetComb","Vhyn Vagrants"
"Chotan","Amazon","1#","StatSet0","ItemSetSA","SkillSetAffA","WildernessSteppesOutlaw"
"Christeigh","Amazon","3#Steppes_12","StatSet0","ItemSetEF","SkillSetAffF","ImperiaSyrnaAntonio"
"Christel","SamniteImp","","StatSet0","ItemSetIF","SkillSetAffF","Flabios Avengers"
"Chromurg","Berserker","3#berserker03","statset0","ItemSetNA","skillsetcomb","NoSchool"
"Chrotag","ChannelerImp","4#","StatSet0","ItemSetIF","SkillSetAffF","NoSchool"
"Chryseida","BanditAF","1#","StatSet0","ItemSetNA","SkillSetComb","ImperiaPirgosLocalRecruits"
"Chrysostom","SamniteExp","0#School_TurqRed3","StatSet0","ItemSetEF","SkillSetAffF","ImperiaTrikataPergaGiants"
"Chuck","DarkLegionnaire","","StatSet0","ItemSetIU","SkillSetComb","The Loosers"
"Chugh","Archer","0#School_YellowGreen4","StatSet0","ItemSetSF","SkillSetAffF","Rywigo Arrowheads"
"Chulunny","Archer","0#qstSniper","StatSet1","itemsetSniper","SkillSetAffE","Snipers"
"Chuluulaan","SecutorSteF","0#School_YellowBlue3","statset0","ItemSetSF","SkillSetAffF","Borte Hulagu"
"Chuma","BanditA","3#","StatSet1","ItemSetEE","SkillSetAffE","WildernessExpanseOutlaw"
"Cian","Satyr","1#Satyr1","StatSet0","ItemSetNF","SkillSetComb","Shepards of Sloan"
"Cili","Peltast","0#Imperia_17","statset0","ItemSetIA","SkillSetComb","NoSchool"
"Cirocco","BanditA","1#","StatSet0","ItemSetSW","SkillSetAffW","Bhilly Bandits"
"Cizah","Cat","1#","StatSet0","ItemSetEA","SkillSetAffA","School of Osiris"
"Cloacina","ChannelerImp","3#School_BlackYellow1","StatSet2","ItemSetIF","SkillSetAffF","Femina Formosos"
"Cloria","BanditBF","2#","StatSet0","ItemSetNE","SkillSetComb","ImperiaTrikataTribunal"
"Clys","Mongrel","3#","StatSet0","ItemSetSE","SkillSetAffE","Executioner"
"Clytus","Legionnaire","2#Imperia_09","StatSet0","ItemSetIE","skillsetcomb","NoSchool"
"Clyxen","MurmilloF","","StatSet0","ItemSetIW","SkillSetAffW","Baneful Berserkers"
"Cochico","UndeadMeleeImpA","","StatSet0","ItemSetID","SkillSetAffD","Story Characters"
"Cogidubnus","BanditA","1#","StatSetW","ItemSetIF","SkillSetTrain","ImperiaPirgosLameticus"
"Coilin","Barbarian","3#Nordagh_08","Statset0","ItemSetNF","skillsetcomb","High Krigare School"
"Cole","BanditA","3#","statset0","ItemSetIE","SkillSetAffE","ImperiaBelfortLocalRecruits"
"Colyn","BanditB","4#","StatSet4","ItemSetIF","SkillSetAffF","ImperiaTribunal"
"Comhghan","Gungnir","1#Nordagh_03","StatSet0","ItemSetNU","SkillSetComb","Eyes of the Beast"
"Confusion Statue A","PropStatue","","statue","","prop_confusion","Dynamic Statues"
"Confusion Statue B","PropStatue","","statue","","prop_confusion","Dynamic Statues"
"Confusion Statue C","PropStatue","","statue","","prop_confusion","Dynamic Statues"
"Confusion Statue D","PropStatue","","statue","","prop_confusion","Dynamic Statues"
"Cordax","Legionnaire","2#School_RedPurple4","statset0","ItemSetIE","SkillSetAffE","School of Xandus"
"Cori","Barbarian","4#School_GreenBlack3","statset0","ItemSetNF","skillsetcomb","Masters of the Glade"
"Corin","Peltast","3#","StatSet0","ItemSetEE","SkillSetAffE","ImperiaPirgosGallus"
"Corinthius","DarkLegionnaire","","StatSet2","ItemSetID","SkillSetAffD","WildernessExpanseDark"
"Corky","PropBarrel","","StatSet0","ItemSetEA","prop_BarrelNorm","ImperiaCroPrisoners"
"Coronus","UndeadMeleeImpB","","StatSet0","ItemSetIE","SkillSetComb","WildernessImperiaUndead"
"Cossu","UndeadMeleeSteA","","StatSet0","ItemSetSD","SkillSetComb","WildernessSteppesUndead"
"Cowan","Barbarian","2#Nordagh_08","StatSet0","ItemSetNE","SkillSetAffE",""
"Cracleu","Centurion","2#Imperia_17","StatSet0","ItemSetSU","SkillSetComb","Warriors of Fortitude"
"Craiga","CenturionF","0#Imperia_01","statset0","ItemSetIE","skillsetcomb","ImperiaBelfortLocalRecruits"
"Cratus","Bear","1#","StatSet2","ItemSetIU","SkillSetComb","WildernessImperiaBeast"
"Cratylus","Centurion","0#Imperia_03","StatSet0","ItemSetIU","SkillSetComb","School of Past Glory"
"Crcrthuk","Scorpion","1#","StatSet0","ItemSetEU","SkillSetComb","WildernessExpanseBeast"
"Creag","Berserker","4#berserker09","StatSet2","ItemSetNE","SkillSetAffE","Nordagh Ringers"
"Cresto","UndeadMeleeImpB","","StatSet0","ItemSetIA","SkillSetComb","WildernessImperiaUndead"
"Cretheu","MurmilloF","0#School_YellowBlue4","StatSet0","ItemSetIW","SkillSetAffW","Borte Hulagu"
"Creusa","BanditAF","1#","StatSet1","ItemSetIA","SkillSetAffA","WildernessImperiaOutlaw"
"Criffin","Satyr","1#Satyr1","StatSet0","ItemSetSF","SkillSetComb","The Invaders"
"Cronus","Barbarian","3#Nordagh_16","statset0","ItemSetNF","skillsetcomb","The Harbingers"
"Crotus","SecutorImp","3#Imperia_05","StatSet5","ItemSetIA","SkillSetComb","ImperiaOrusOrcusDomini"
"Cuirealian","Gungnir","0#Nordagh_16","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Cukiluk","MongrelShaman","3#School_YellowBlack4","StatSet0","ItemSetNW","SkillSetAffW","School of Suyhron"
"Curissia","CenturionF","1#School_BlackYellow2","StatSet3","ItemSetIA","skillsetcomb","Femina Formosos"
"Curr","BanditA","4#","StatSet0","ItemSetNA","SkillSetComb","NoSchool"
"Cvinda","ChannelerImp","3#Imperia_19","StatSet0","ItemSetIW","SkillSetAffW","ImperiaPirgosLameticus"
"Cydon","Legionnaire","2#Imperia_16","statset0","ItemSetIA","SkillSetAffA","NoSchool"
"Cyme","SamniteImpF","4#School_BlackRed3","StatSet5","ItemSetIW","skillsetaffW","Shadow of the Empire"
"Cyneas","SamniteImp","3#School_TurqRed3","StatSet0","ItemSetEA","SkillSetAffA","ImperiaTrikataPergaGiants"
"Cyprianus","Centurion","3#School_BlackBlue1","StatSet0","ItemSetIF","SkillSetComb","ImperiaPirgosBrutes"
"Cyrbodan","UndeadMeleeSteA","","StatSet0","ItemSetSD","SkillSetComb","WildernessSteppesUndead"
"Cyrul","BanditB","1#","statset0","ItemSetIF","skillsetcomb","ImperiaSchool"
"Cyzicus","CenturionF","","StatSet0","ItemSetIE","SkillSetAffE","Krakens"
"Daedion","Peltast","2#School_YellowBlue3","StatSet0","ItemSetIA","SkillSetComb","Borte Hulagu"
"Daeg","BanditA","2#","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Dahlger","BanditB","","StatSet0","ItemSetSA","SkillSetAffA","Vhyn Vagrants"
"Daibhi","Gungnir","1#Nordagh_18","statset0","ItemSetNF","skillsetcomb","Roanor Militia"
"Daithi","Barbarian","1#Nordagh_04","statset0","itemsetNA","skillsetaffA",""
"Dakari","Dervish","4#","StatSet1","ItemSetEA","SkillSetAffA","WildernessExpanseOutlaw"
"Dalan","Archer","2#Steppes_20","StatSet0","ItemSetSF","SkillSetAffF","The Outcasts"
"Dalila","BanditAF","3#","StatSet0","ItemSetEF","SkillSetAffF","WildernessExpanseOutlaw"
"Damdinsuryn","SamniteSteF","0#Steppes_13","statset0","ItemSetSF","SkillSetAffF","Poachers"
"Damijan","Peltast","0#Imperia_03","StatSet0","ItemSetSE","SkillSetAffE","ImperiaPirgosGallus"
"Damphousse","BanditA","2#","StatSet2","ItemSetNE","SkillSetAffE","WildernessImperiaUndead"
"Dampildorg","ArcherF","1#School_RedPurple4","statset0","ItemSetSE","skillsetcomb","School of Xandus"
"Danor","Centurion","3#School_BlueWhite2","statset0","ItemSetIF","skillsetcomb","BelfortMilitary"
"Darean","BanditB","3#","StatSet0","ItemSetIF","SkillSetComb","ImperiaCroPrisoners"
"Dariys","Archer","3#Steppes_16","statset0","ItemSetEF","SkillSetAffF","Sandskimmers"
"Dark Cat_Summoned","DarkCat","","StatSet0","ItemSetEA","SkillSetSummon","NoSchool"
"Dark Knight Arkus","DarkGodKnight","","darkknightweak","darkknight","skillsetDarkGodKnight","Dark God"
"Dark Knight Cron","DarkGodKnight","","darkknightweak","darkknight","skillsetDarkGodKnight","Dark God"
"Dark Knight Daine","DarkGodKnight","","darkknightweak","darkknight","skillsetDarkGodKnight","Dark God"
"Dark Knight Orius","DarkGodKnight","","darkknightweak","darkknight","skillsetDarkGodKnight","Dark God"
"Dark Knight Qulok","DarkGodKnight","","darkknightweak","darkknight","skillsetDarkGodKnight","Dark God"
"Dark Knight Ruik","DarkGodKnight","","darkknightweak","darkknight","skillsetDarkGodKnight","Dark God"
"Dark Knight Thorn","DarkGodKnight","","darkknightweak","darkknight","skillsetDarkGodKnight","Dark God"
"Dark Knight Zemti","DarkGodKnight","","darkknightweak","darkknight","skillsetDarkGodKnight","Dark God"
"Dark Wolf_Summoned","DarkWolf","","StatSet0","ItemSetEA","SkillSetSummon","NoSchool"
"DarkGodShiva1","DarkGodShiva","","StatSet0","","skillsetDarkGodSpecial","Dark God"
"DarkGodShiva2","DarkGodShiva","","StatSet0","","skillsetDarkGodSpecial","Dark God"
"Darklis","CenturionF","1#Imperia_05","StatSet0","ItemSetIA","SkillSetComb",""
"Darrick","BanditA","0#","StatSet0","ItemSetNE","SkillSetComb","Black Band of Seven"
"Darwishi","UndeadMeleeSteB","","StatSet0","ItemSetED","SkillSetAffD","WildernessExpanseUndead"
"Daryn","Gungnir","2#Nordagh_18","StatSet0","ItemSetEA","SkillSetAffA",""
"Dash","Barbarian","4#Nordagh_02","statset0","ItemSetNE","skillsetcomb","NoSchool"
"Dasi","BerserkerF","2#School_GreenBlack4","statset0","ItemSetNE","skillsetaffE","Masters of the Glade"
"Dauhla","SamniteSteF","","StatSet0","ItemSetSU","SkillSetComb","NoSchool"
"David","Peltast","3#","StatSet0","ItemSetIU","SkillSetComb","The Loosers"
"Dax","Yeti","1#Yeti2","StatSet0","ItemSetNW","SkillSetComb","Black Band of Seven"
"DaxLego1","Legionnaire","4#Imperia_13","StatSet0","ItemSetEA","SkillSetDaxTest","DemoTestDax"
"DaxLego2","Legionnaire","2#Imperia_16","StatSet0","ItemSetEA","SkillSetDaxTest","DemoTestDax"
"DaxLego3","Legionnaire","1#Imperia_16","StatSet0","ItemSetEA","SkillSetDaxTest","DemoTestDax"
"DaxLego4","Legionnaire","3#Imperia_01","StatSet0","ItemSetEA","SkillSetDaxTest","DemoTestDax"
"DaxLego5","Legionnaire","4#Imperia_20","StatSet0","ItemSetEA","SkillSetDaxTest","DemoTestDax"
"Dchyk","Scorpion","1#","StatSet2","ItemSetEU","SkillSetComb","WildernessExpanseBeast"
"Dearbhorgaill","Galdr","0#School_PurpleYellow1","StatSet0","ItemSetEA","SkillSetAffA","spellcasters"
"Deavin","Satyr","0#Satyr1","StatSet0","ItemSetEE","SkillSetComb","The Invaders"
"Deireoe","CenturionF","3#","StatSet1","ItemSetIW","SkillSetAffW","ImperiaBelfortLocalRecruits"
"Delger","Ogre","3#Ogre_13","statset0","ItemSetSF","SkillSetAffF","Krakens"
"Delia","Wolf","3#","StatSet2","ItemSetNU","SkillSetComb","WildernessNordaghBeast"
"Deliza","ChannelerImp","2#Imperia_03","StatSet5","ItemSetIF","SkillSetAffF","ImperiaTribunal"
"Della","Wolf","4#","statset0","ItemsetNE","skillsetaffE","The Pack"
"Demion","BanditA","3#School_BlackRed2","StatSet5","ItemSetNF","skillsetcomb","Shadow of the Empire"
"Demus","DarkLegionnaire","","StatSet3","ItemSetID","SkillSetAffD","WildernessExpanseDark"
"Demyosnai","ChannelerImp","0#School_BlackPurple4","StatSet0","ItemSetEU","SkillSetComb","Quarry Warriors"
"Dendara","BanditBF","4#","StatSet0","ItemSetEU","SkillSetComb","WildernessExpanseOutlaw"
